Diseases of Cattleya Lindl. spp.	Cattleya
Diseases of Almond (Prunus dulcis (Mill.) Webb)	Prunus dulcis
Diseases of Holiday Cacti Schlumbergera truncata (Haw.) Moran (= Zygocactus truncatus (Haw.) K. Schum.), S. × buckleyi (T. Moore) Tjaden, S. bridgesii (Lem) Loefgr., and Hatiora gaertneri (Regel) Barthlott	Schlumbergera truncata|Schlumbergera × buckleyi|Schlumbergera bridgesii|Hatiora gaertneri
Diseases of Geranium (Pelargonium) Pelargonium × domesticum Bailey      (regal geranium or Lady Washington or      Martha Washington geranium; interspecific hybrids) Pelargonium × hortorum Bailey      (florists' or zonal geranium; interspecific hybrids) Pelargonium graveolens L'Her. ex Aiton      (scented geranium) Pelargonium peltatum (L.) L'Her. ex Aiton      (ivy geranium)	Pelargonium × domesticum|Pelargonium × hortorum|Pelargonium graveolens|Pelargonium peltatum
Garlic viruses A-D	Garlic virus A|Garlic virus B|Garlic virus C|Garlic virus D
candidate Rhabdoviridae (unassigned genus), Passion fruit green spot virus (PGSV)	Passion fruit green spot virus
Candidatus Liberobacter asiaticus Candidatus L. africanus	Candidatus Liberobacter asiaticus|Candidatus Liberobacter africanus
unassigned genus, Purple granadilla mosaic virus (PGMV)	Purple granadilla mosaic virus
Slippers	no:name
Aberra	no:name
Abiotic	no:name
Accentuated by lettuce mosaic virus	
Acetic acid bacteria	
African cereal streak virus (Ethiopia	
Ait.) Pers.	no:name
Alectna sp. (Family	
Alfalfa enation virus (AEV)	
Alfalfa mosaic virus (AMV)	
Alfenas	
Alkaline and very wet soils	
Alpine mosaic agent	
Alsike clover mosaic virus	
American hop latent virus (AHLV)	
American wheat striate mosaic virus mosaic (AWSMV)	
Ammonium toxicity produces V-shaped chlorotic bands starting at the leaf tip and accompanied by downward leaf cupping	no:name
Anaerobic soil plus blue-green algae and/or sulfate-reducing bacteria	
Anatomical defect	no:name
Andean potato mottle virus-pepper strain	
Apple chlorotic leafspot virus	
Arabis mosaic virus (ArMV)	
Arabis mosaic virus (ArMV) (nepovirus)	
Arabis mosaic virus  satellite nucleic acid (ArMV)	
Arai	
Arhar mosaic virus	
Arracacha virus B Oca strain	
Arsenic induced	no:name
Ascochta tarda Stewart	
Asparagus 1 virus	
Asparagus 2 virus	
Associated with calcium deficiency	no:name
Associated with high temperatures near harvest time	no:name
Associated with low oxygen in storage	no:name
Aveskamp	no:name
Bacon	no:name
Bain	no:name
Barley yellow dwarf virus–GPV	Barley yellow dwarf virus
Barley yellow dwarf virus–kerII	Barley yellow dwarf virus Ker-II
Barley yellow dwarf virus–kerIII	Barley yellow dwarf virus Ker-III
Barley yellow dwarf virus–MAV	Barley yellow dwarf virus
Barley yellow dwarf virus–PAS	Barley yellow dwarf virus
Barley yellow dwarf virus–PAV	Barley yellow dwarf virus
Barley yellow dwarf virus–RMV	Barley yellow dwarf virus
Barley yellow dwarf virus–SGV	Barley yellow dwarf virus
Barley yellow streak mosaic virus (BYSMV)	
Beales	no:name
Bean leafroll virus (BLRV)	
Bean (pea) leaf roll virus	
Bean yellow mosaic virus (BYMV)	
Beauchamp & Morrall	no:name
Beet distortion mosaic virus	
Beet leaf curl virus	
Beet mosiac virus	
Belonolaimlus spp.	
Belonolainus gracilis Steiner	
Belonolainus longicaudatus Rau	
Belouin	no:name
Bergey et al.	no:name
Bernard	no:name
Bezerra & Herrera	no:name
Bezerra & Herrera) Boesewinkel	no:name
Biden mosaic virus	
Bjerkandra adust (Willd.	
Blackberry calico virus	
Bollen	no:name
Botrytiscinerea Pers.	
Bramble yellow mosaic virus	
Bratislava mosaic virus	
Brazilian wheat spike virus	
Broadbean wilt fabavirus	
Broadbean wilt virus	
Brome mosaic virus (BMV)	
Brosch	no:name
Bruising	no:name
Bruising during harvest or handling	no:name
Cacao necrosis nepovirus (CNV)	
Cacao swollen-shoot badnovirus (CSSV)	
Cacao yellow mosaic tymovirus (CYMV)	
Calcium deficiency	no:name
Candelobrochaete langioisii (Pat.) Boidin	
Carbohydrate translocation due to second growth	
Carrot latent virus	
Carrot yellow leaf virus (CYLV)	
Carter	no:name
Cause of disorder unknown	no:name
Cause undetermined	no:name
Cause unknown	no:name
Ceratocytis fimbriata Ellis & Halst.	
Cereal chlorotic mottle virus	
Cereal chlorotic mottle virus (CCMV)	
Cereal tillering disease virus	
Cereal tillering disease virus* and Maize rio cuarto disease*	
Cereal yellow dwarf virus–RPV	
Chickpea bushy stunt virus	
Chickpea distortion mosaic virus	
Chickpea filiform virus	
Chili veinal mottle virus	
Chilling injury occurring between 0-10°C (32-50°F)	no:name
Chilling injury to fruit	no:name
Chlara sp.)	
Christensen	no:name
Chrondrostereum purpureum (Pers.	
Circonemella spp.	
Citrus chlorotic dwarf-associated virus	
Citrus leprosis virus cytoplasmic types	
Citrus variegation ilarvirus	
Cladosporum sp. (not pathogenic)	
Closterovirus-associated	
Clover mild mosaic virus	
Cochiobolus lunatus R.R. Nelson & Haasis	
Cold temperatures	no:name
Colleotrichum gloeosporioides Penz.	
Colleotrichum kahawae Waller & Bridge	
Collins and Jones	no:name
Common pea mosaic virus	
Complex of ring nematode	
Copper deficiency	no:name
Corticiumstevensii Burt	
Cowpea mosaic comovirus	
Crinkly leaf ilarvirus (strain of infectious variegation)	
Croatian clover mosaic potyvirus	
Crous	no:name
Cryptostistis mariae [Clinton] Sacc.	
Cucumber green mottle mosaic virus (CGMMV)	
Cucumber mosac virus	
Cucumber mosaic cucumovirus	
Cucumber mosaic cucumovirus (CMV)	
Cucumber mosaic virus (CMV)	
Cucumber mosiac virus	
Cucumber vein yellowing virus (CVYV)	
Cuscata campestris Yunck.	
Cynodon chlorotic streak virus (CCSV)	
Dahlia ringspot virus	
Damage by bacteria (see also underfungal and miscellaneous diseases)	Bacteria
Damage by many fungi including Cochliobolus miyabeanus (Ito & Kuribayashi) Drechs. ex Dastur	Fungi
Deficiency of calcium in fruit	no:name
Delay in fruit filling	no:name
Denrophthora spp.	
Dictochaeta fertilis (S.J. Hughes & Kendrick) Holubova-Jechova	
Diplocarponmespili (Sorauer) Sutton	
Diseases of Geranium (Pelargonium) Pelargonium × domesticum Bailey (regal geranium or Lady Washington or Martha Washington geranium; interspecific hybrids) Pelargonium × hortorum Bailey (florists' or zonal geranium; interspecific hybrids) Pelargonium graveolens L'Her. ex Aiton (scented geranium) Pelargonium peltatum (L.) L'Her. ex Aiton (ivy geranium)	
Diseases of Holiday Cacti Schlumbergera truncata (Haw.) Moran (= Zygocactus truncatus (Haw.) K. Schum.), S. × buckleyi (T. Moore) Tjaden, S. bridgesii (Lem) Loefgr., and Hatiora gaertneri (Regel) Barthlott	
Diseases of Mint (Mentha piperita L., M. cardiaca Baker, M. spicata L. and Mentha arvensis	
Dorenb.	no:name
Dorenbosch & Van Kesteren	no:name
Dowson 1939	no:name
Dreschslera gigantea (Heald and F. A. Wolf) S. Ito	
Drought	no:name
Duncan	no:name
Dunn	no:name
Dye and Wilkie 1978)	no:name
Dye & Wilkie	no:name
Dye & Wilkie 1978	no:name
Eastern wheat striate virusd	
Eastern wheat striate virus (India)	
Eggplant mottle dwarf virus	
Equador)	
Erwin & Nene	no:name
Ethylene toxicity (< 1 ppm) or low temperature chilling	no:name
Ethylene toxicity (> 2 – 50 ppb)	no:name
European wheat striate mosaic virus	
Exact cause(s) unknown	no:name
Excess boron levels	no:name
Excessive heat and light	no:name
Excessively rapid tuber enlargement	no:name
Excessive nitrogen/low calcium levels	no:name
Excessive or intense direct heat/ solar injury	no:name
Excessive post-harvest brush polishing of fruit	no:name
Excessive salt concentration in soil or water	no:name
Excessive soluble salts (> 800 EC X 102)	no:name
Excessive temperature or duration in hot water or hot water/fungicide dips	no:name
Excess mineral salts	no:name
Excess nitrogen during bulb formation	no:name
Excess pollen	no:name
Exposure of bulbs to light	no:name
Exposure of fruit to sunlight and heat	no:name
Exserohilium sp.	
Extended low light periods on short-day plants	no:name
Extended period of soil flooding	no:name
Extreme high or low temperatures cause cankers at soil level	no:name
Extreme high temperatures	no:name
Feeding injury by rice stink bug	no:name
Feeding of wheat curl mite (Aceriatulipae) Keifer	Aceria tulipae
Flooding	no:name
Fluoride toxicity on tips and margins of young leaves and bracts (0.4 ppm in water)	no:name
Foliar pathogens which attack cap-drying	no:name
For young plants	no:name
Freezing of bark following high temperatures in winter	no:name
Freezing temperatures	no:name
Fries) Starb. [teleomorph]	no:name
Frost	no:name
Gagkaeva	no:name
Ganodermazonatum Murrill	
Ganodermazonatum sulcatum Murrill	
Gao	no:name
Geiser	no:name
Genetic	no:name
Genetic abnormality	no:name
Genetically predisposed rootstock	no:name
Genetically transmitted disorder of unknown cause	no:name
Genetic defect	no:name
Genetic disorder	no:name
Genetic flower break	no:name
Genetic mutation	no:name
Genetic predisposition	no:name
Geotrichium candidum Link.	
Giant granadilla malformation virus	
Giberella pulicaris (Fr.	
Gleocercospora sorghi Bain & Edgerton	
Globiformes graveolens (Schwein.	
Graft transmissible agent	no:name
Greco & Di Vito	no:name
Grewal & Sarbhoy) Kannaiyan	no:name
Grimont & Grimont	no:name
Gross & Barss 1940) Vauterin	no:name
Gruyter	no:name
Guarro & Figueras	no:name
Haglund and Kraft-1970	no:name
Haglund and Kraft-1979	no:name
Hail injury	no:name
Handoo & Di Vito	no:name
Heat stress	no:name
Heavy rains or prolonged post-harvest dips	no:name
Helenium S virus	
Helicotylencus spp.	
Hemiparasitic bacteria and fungi	Bacteria|Fungi
Hemiparasitic bacteria  (See under Fungi)	
Hemp mosaic virus	
Hemp streak virus	
Hennebert	no:name
Herbicide damage and soil and temperature conditions	no:name
Herbicides	no:name
Hibiscus green spot virus 2	
High CO2	no:name
High internal turgor pressure associated with certain cultivars	no:name
High light conditions	no:name
High light intensity and high temperatures	no:name
High soil moisture	no:name
High soil surface temperature	no:name
High soluble nitrogen or high levels of air-pollutants	no:name
High soluble salts	no:name
High temperature	no:name
High temperature and low humidity	no:name
Hodges)	no:name
Hoffm.) Arcang.	no:name
Hop latent virus (HpLV)	
Hoploliamus spp.	
Hop mosaic virus (HpMV)	
Horton & Hora	
Hoste	no:name
Hot and cold temperatures	no:name
Hulbert	no:name
Humulus japonicus latent virus (HJLV)	
Hung	no:name
Hysizygus ulmarius (Bull.	
Illuminating gas in soil	no:name
Incomplete pollination	no:name
Incorrect O2	no:name
Injury to fruit surfaces by naturally occurring gases produced by the fruit	no:name
Insufficient manganese	no:name
Interaction of Sweet potato chlorotic stunt virus (SPCSV)	Sweet potato chlorotic stunt virus (SPCSV)
Interaction of Sweet potato chlorotic stunt virus (SPCSV) and Sweet potato feathery mottle virus (SPFMV)	Sweet potato chlorotic stunt virus (SPCSV)|Sweet potato feathery mottle virus (SPFMV)
Interaction of Sweet potato chlorotic stunt virus (SPCSV) and Sweet potato mild mottle virus (SPMMV)	Sweet potato chlorotic stunt virus (SPCSV)|Sweet potato mild mottle virus (SPMMV)
Iononotus arizonicus R. L. Gilbertson	
Iononotus cuticularis (Bull.	
Iononotus ludovicianus (Pat.) Murrill	
Irrigation water temperature much above or below leaf temperature applied to the leaf surface	no:name
Japan)	no:name
Japanese wheat mosaic virus	
Johnsongrass mosaic virus (JGMV)	
Kalanchoë mosaic (?) potyvirus	
Kalanchoë top-spotting badnavirus (KTSV)	
Kaplan	no:name
Kenya)	no:name
Kersters & Swings 1995	no:name
Kistler	no:name
Klotzsch) Ryvarden	no:name
Korea	no:name
Korea)	no:name
Lack of iron uptake due to alkaline soils	no:name
Lack of water	no:name
Laxitectum bicolor (Pers.	
Lesion nematodes	
Less common Fusarium spp.   F. acuminatum Ellis & Everh.	Fusarium acuminatum
Light abrasions on fruit peel caused by leaves or bracts	no:name
Lisianthus necrosis virus (LNV)	
Localized calcium deficiency	no:name
Lodhi	no:name
Low light	no:name
Low pH and mineral nutrient imbalance	no:name
Low temperature exposure	no:name
Low temperatures	no:name
Low winter temperatures	no:name
Lucerne transient streak virus (LTSV)	
Magnesium deficiency	no:name
Maharachch.	no:name
Maize chlorotic dwarf virus (MCDV)	
Maize chlorotic mottle virus (MCMV)	
Maize dwarf mosaic virus (MDMV) strains A	
Maize leaf fleck virus (MLFV)	
Maize line virus (MLV)	
Maize mosaic virus (MMV)	
Maize mottle and chlorotic stunt virus*	
Maize pellucid ringspot virus (MPRV)	
Maize rayado fino virus (MRFV)	
Maize raya gruesa virus (MRGV)	
Maize red stripe virus (MRSV)	
Maize ring mottle virus (MRMV)	
Maize Rio IV virus	
Maize rough dwarf virus (MRDV)	
Maize sterile stunt virus (strains of barley yellow striate virus)	
Maize streak virus (MSV)	
Maize stunting virus	
Maize tassel abortion virus (MTAV)	
Maize vein enation virus (MVEV)	
Maize wallaby ear virus (MWEV)	
Maize white leaf virus	
Maize white line mosaic virus (MWLMV)	
Mandelco-Paul & Brenner 1987	no:name
Mandelco-Paul & Brenner 1995	no:name
Manganese deficiency	no:name
Manganese toxicity	no:name
Many cacti	Cactaceae
Maracuja mosaic virus (MarMV)	
Maramiellus scandems (Massee) Dennis & Reid	
Massenot	no:name
Mechanical damage	no:name
Mechanical damage to tuber	no:name
Mechanical injury to seed	no:name
Melinius brevidens (Allen) Siddiqi	
Meloidoglyne spp.	
Melon leaf curl virus (MLCV)	
Melon necrotic spot virus (MNSV)	
Metabolite of Bacillus cereus Frankland & Frankland	
Microbial rotting after feeding by Cyrtomenus bergi Froeschner	
Millet red leaf virus (MRLV)	
Mill.) Webb	no:name
Mineral deficiencies and toxicities	no:name
Mishra & Jain	no:name
Moisture imbalance in plants when soil is warm and wet while the air is cool and wet	no:name
Mollicute?	
Molybdenum deficiency affecting mature young leaves and producing upward leaf roll	no:name
Moniz	no:name
Muskmelon vein necrosis virus (MkVNV)	
Mycoplasmalike organism (MLO)	
Nemataspora coryli Peligon	
Neofabrae perennans Kienholz	
Nicholson	no:name
Nitrogen deficiency	no:name
Nitrogen deficiency producing a general foliar yellowing	no:name
Nonaka & Sano	no:name
no name	no:name
Northern cereal mosaic virus (NCMV)	
Not known	no:name
Noviello & W. C. Snyder	no:name
Numerous pathogens	no:name
Nutrient deficiency/excess	no:name
Nutritional (?)	no:name
Nutritional disorders	no:name
Oat pseudorosette virus	
Oat sterile dwarf virus (OSDV)	
Often exacerbated by rust	no:name
Ogawa	no:name
Orton & Hora	no:name
Orton & Hora = Clitocybe tabescens (Scop.) Bres.	
Overfertilization	no:name
Overheating of fruit from direct exposure to sun	no:name
Oxygen deficiency	no:name
Oxygen deficiency of internal tuber tissue	no:name
Oxygen deficiency of tuber accompanying high soil temperature	no:name
Ozone	no:name
Ozone and   air pollutants	no:name
Ozone injury	no:name
Ozone injury (> 4 ppm)	no:name
Ozone pollution	no:name
Papaya apical necrosis rhabdovirus	
Papaya droopy necrosis rhabdovirus	
Papaya ringspot virus W strain (PRSV-W)	
Passiflora chlorotic spot virus	
Passiflora ringspot virus (PFRSV)	
Passion fruit crinkle virus (PCV)	
Passion fruit green spot virus (PGSV)	
Passion fruit mottle virus (PFMoV)	
Passion fruit ringspot virus	
Passion fruit vein clearing virus (PVCV)	
Patel & Abhyankar) Dye	no:name
Patel & Dhande) Dye	no:name
Payak & Renfro	no:name
Pea enation mosaic virus	
Pea seedborne mosaic virus	
Pea streak virus (PeSV) )	
Pelargonium ring pattern virus	
Pelargonium vein clearing virus	
Peroxyacetyl nitrate (PAN) injury to the lower epidermis	
Pers.	no:name
Pers. angustata Peck	no:name
Pers.) Dietel	no:name
Pers. f. sp. tritici Erikss. & E. Henning (syns. Aecidium berberidis Pers.	
Pers. graminis Pers.	
Pers. graminis Pers. f. sp. secalis Eriks. & E. Henn.	
Pers.) Niessl	no:name
Pers.) P. Karst	no:name
Pers.) rosae-pimpinellifoliae Dietel plus seven   Phragmidium spp.	no:name
Pers.) Roussel	no:name
Pers.) Schlechtend.	no:name
Pers. subsp. graminicola Z. Urban	no:name
Pers.) Unger	no:name
Phanaerochaeta allantospora Burdsall & R. L. Gilbertson	
Phanaerochaeta arizonica Burdsall & R. L. Gilbertson	
Phanaerochaeta avellanea (Bres.) J. Eriksson & Hjortstam in J. Eriksson et al.	
Phanaerochaeta burtii (Romell) Parmasto	
Phanaerochaeta carnosa (Burt) Parmasto	
Phanaerochaeta chrysorhiza (Torr.) Budington & R. L. Gilbertson	
Phanaerochaeta crassa (Lev.) Burdsall	
Phanaerochaeta filamentosa (Berk. & M. A. Curtis) Burdsall	
Phanaerochaeta omnivora (Shear) Burdsall & Nakasone	
Phanaerochaeta tuberculata (P. Karst.) Parmasto	
Phialophora-type	
Phloem necrosis virus (Camellia Virus 1)	
Photochemical oxidants (primarily ozone)	
Phymatotrichiopsis omnivora (Duggar) Hennebert	
Phyophthora cinnamomi Rands	
Physiological	no:name
Physiological (chill injury)	no:name
Physiological disorder	no:name
Physiological disorder favored by high humidity	no:name
Physiological expression of flower initiation	no:name
Physiological in origin	no:name
Physiological (triggered by bruising or some   injury)	no:name
Physiological water stress	no:name
Physiologic and pathogenic deteriorations	no:name
Physiologic effect of exposure to extremes of temperature – common at high altitudes	no:name
Phytoreolike virus (probably)	
Pleurotis dryinus (Pers.	
Poinsettia (?) alphacryptovirus (PnCV)	
Poinsettia mosaic virus (possible tymovirus) (PnMV)	
Possibly	no:name
Possibly bacterial in origin	no:name
Possibly strain of Tobacco leaf curl virus (TLCV)	
Post-harvest disorder of unknown cause	no:name
Potassium deficiency	no:name
Potato deforming mosaic virus subgroup III	
Potato X virus	
Preharvest low temperature	no:name
Premature seed maturation and senescence	no:name
Presumably toxins from wood-rotting fungi	
Presumed viral agent (not identified)	
Primula mosaic virus	
Primula mottle virus	
Probable virus or phytoplasmad	
Probable virus vectored by Pythium spp.	
Prunus necrotic ring spot virus	
Pseudocercosoporella herpotrichoides (Fron) Deighton	
Pseudomas spp.	
Pseudophaeolus baudonii (Pat.) Ryv.	
Pucciniacoronata Corda	
Pucciniahelianthi Schwein.	
Pucciniahelianthi xanthii Schwein.	
Puerto Rico)	no:name
Purple granadilla mosaic virus (PGMV)	
Radopholous similis (Cobb) Thorne	
Raf.) Shinn	no:name
Raj	no:name
Raju	no:name
Ramulariabeticola Fautrey & Lambotte	
Rapid filling of pulp of fruit	no:name
Rapid synthesis of gibberellins triggered by environmental factors	no:name
Raski	no:name
Raspberry ringspot virus (nepovirus)	
Red clover cryptovirus 1 & 2	
Red clover vein mosaic carlavirus (RCVMV)	
Red clover vein mosaic virus (RCVMV)	
Reduced by controlled atmosphere storage	no:name
Residues of heptachlor and chlordane	no:name
Respiration caused by storage at high temperatures or for extended periods	no:name
Response to adverse environment	no:name
Response to low light conditions	no:name
Results from dual infection with CMV and PWV	no:name
Rhabdovirus	
Rhododendron necrotic ringspot virus	
Ribeiro	
Ribeiro and Kimura 1974	
Richardson	no:name
Rickettsia-like organism	
Rickettsia-like organism (Italy)	
Rigidiporus microporus (SW	
Robideau	no:name
Rosellina necatrix Prill. [teleomorph]	
Rose mosaic virus (RMV)	
Rose streak virus (RSV)	
Roughening of tuber skin due to physiological or environmental causes	no:name
Rubus yellow net virus (RYNV)	
Rumania)	no:name
Sacc.) Bres.	no:name
Salinity injury (most likely)	no:name
Salmonia malachrae (Seaver) Blumer & E. Muller	
Samuels	no:name
Santo & Finley	no:name
Santos	no:name
Sap contact with fruit skin during or post-harvest	no:name
Satsuma dwarf-related virus	
Schoult.	no:name
Scotland only	no:name
Senescence	no:name
Senescence of pseudobulbs	
Septoriamenthae Oudem.	
Septoriatritici Roberge in Desmaz.	
Several fungi and bacteria	Fungi|Bacteria
Shafik	no:name
Sheard	no:name
Shoemaker	no:name
Simmons	no:name
Slippers	no:name
Snyder and Hansen-1932	no:name
Solanum apical leaf curling virus (SALCV) subgroup III	
Sorbitol accumulation	no:name
Sorghum mosaic virus (SrMV)	
Sow thistle yellow vein virus	
Soybean dwarf luteovirus	
Soybean severe stunt virus	
Spaceloma glycines Kurata & Kuribayashi	
Sparrasis crispa (Wolfen	
Species of Agraricales and Gastromycetales	Agraricales|Gastromycetales
Species of Phyllosticta Pers.	Phyllosticta
Species of Physarum and Fuligo	Physarum|Fuligo
Species of Pythium	Pythium
Splanchonema platan (Ces.) Barr = Massaria platan Ces. (anamorph	
Squash leaf curl virus (SqLCV)	
Squash mosaic virus (SqMV)	
Sri Lankan passion fruit mottle virus (SLPMoV)	
Starkey	no:name
Steckhoven	no:name
Stekhoven	no:name
Stevens 1925	no:name
Storage at high temperatures	no:name
Strawberry latent ringspot virus (SLRSV)  an unknown sap-transmissible virus	
Strawberry latent ringspot virus (SLRV)	
Strawberry latent ringspot virus (SLRV) (nepovirus)	
Suboptimal light levels	no:name
Subterranean clover red leaf virus	clover red leaf virus
Sudden exposure of fruit to high air temperature and/or bright light	no:name
Sudden high light	no:name
Sugarcane mosaic virus (SCMV) strains A	
Sulfur deficiency	no:name
Sulfur deficiency causing young leaf yellowing	no:name
Sunburn injury	no:name
Sunflower virus	
Sun injury to fruit	no:name
Surface fruit injury due to poor packing or load shift in transit	no:name
Suspected virus	
Sutton	no:name
Sweet potato ringspot virus	
Taphrinaulmi (Fuckel) Johans.	
Taylor	no:name
Temperatures from 7-13°C	no:name
Thanatephora cucumeris (A.B. Frank) Donk	
Thanatephora cucumeris (A. B. Frank) Donk [teleomorph]	
Thanatophorus cucumeris (A. B. Frank) Donk	
Thanetophorus cucumeris (A.B. Frank) Donk	
Thielaviopisis paradoxa (De Seyn.) Hohn.	
Thunb.	no:name
Tilletiacaries (DC.) Tul. & C. Tul.	
Tilletiacaries foetida (Wallr.) Liro	
Tilletiacaries laevis Kühn in Rabenh.	
Tilletiacaries tritici (Bjerk.) G. Wint. in Rabenh.	
Tobacco mosiac virus	
Tobacco necrosis virus (TNV) (necrovirus)	
Tobacco rattlevirus	
Tobacco ringspot nepovirus	
Tobacco ring spot virus	
Tobacco ringspot virus (TobRSV)	
Tobacco streak Ilarvirus	
Tobacco stunt virus	
Tobacco vein distorting virus and tobacco bushy top virus in combination	
Tobacco vein distorting virus and tobacco mottlevirus in combination	
Tomato black ring virus (TomRBV) (nepovirus)	
Toussoun	no:name
Toxic saliva of the potato (tomato) psyllid	
Tradescantia mosaic virus	
Trames hirsuta (Wulfen	
Triticum aestivum chlorotic spot virus	
Troccoli	no:name
Tulloch	no:name
Turnip mosiac virus	
Tylenchorynchus sp.	
Tylenchorynchus sp. Cobb	
Tzavella-Klonari	no:name
Ueyama	no:name
Unavailable copper	no:name
Uncinulanecator (Schwein.) Burrill	
Unconfirmed virus/toxin	no:name
Uneven irrigation	no:name
Unexplained pre-harvest fruit injury	no:name
Unfavorable environmental conditions and/or any of several pathogens	no:name
Uromycesbetae J. Kickx fil.	
Ustilina deusta (Hoffm.	
Varga	
Various causes	no:name
Various fungi	Fungi
Various viruses and GTPs	
Verkley	
Verticllium albo-atrum Reinke & Berthier	
Verticllium dahliae Kleb.	
Vilgalys	
Virus complex (Maize chlorotic mottle virus [MCMV] and Maize dwarf mosaic virus [MDMV] A or B or Wheat streak mosaic virus [WSMV])	
Virus for some combinations	
Virus (graft-transmissible)	
Viruslike	
Virus (most likely)	
Virus (putative)	
Virus suspected	
Virus suspected (GTP)	
Virus (uncharacterised)	
Wang	no:name
Wang.) Koch.	no:name
Water imbalance	no:name
Watermelon mosaic virus (WMV)	
Weisberg	no:name
Weisburg	no:name
Western pea streak virus	
Western-X phytoplasma	
Wheat soil-borne mosaic virus	
Willd.) Regel]	no:name
Wineberry latent virus	
Winter wheat mosaic virus	
Winter wheat Russian mosaic virus	
Winter wheat Russian mosaic virus (WWRMV)	
Wisconsin pea streak virus	
Witches’ broom phytoplasma	
Witches' broom virus	
Wollenweb. [anamorph]	no:name
Wounding during harvesting and handling	no:name
Xiphenema americanum Cobb	
Xiphenema diversicaudatum (Micoletzky) Thorne	
Xiphenema spp.	
Xyloclodium sp.) pathogenicity not proven	
Yeasts	
Yellow asters group	
Yellow sorghum stunt MLO	
Yellow tuft	
Yli-Mattila	no:name
Zamith & Boock	no:name
Zeitoun	no:name
Zimmermaniella trispora P. Henn.	
Zinc deficiency	no:name
Zinc deficiency in muck soils and in alkaline soils (pH > 7.5)	no:name
Zinc deficiency producing general yellowing and stunting of new leaves	no:name
Zucchini yellows mosaic virus (ZYMV)	
